,Time,Tweet,Favorites,Retweets,Sentiment,keyPhrases
95,2019-06-01 16:04:02,"@teespring Happiness is the spiritual experience of living every minute with love, grace, and gratitude. https://t.co/Qloi90Oy44",0,0,0.987180233001709,"['spiritual experience', 'love', 'minute', 'grace', 'teespring Happiness', 'gratitude']"
96,2019-06-01 14:29:21,RT @lifestylefood24: Impactable fashion as an outgrowth of sustainable fashion.\nhttps://t.co/V8nrYcTDoH\n#powerfulwomen #empowered #influen,0,2,0.5,"['Impactable fashion', 'outgrowth of sustainable fashion', 'lifestylefood24', 'RT', 'influen']"
97,2019-06-01 13:31:32,RT @lifestylefood24: Impactable fashion as an outgrowth of sustainable fashion.\nhttps://t.co/V8nrYcTDoH\n#powerfulwomen #empowered #influen,0,2,0.5,"['Impactable fashion', 'outgrowth of sustainable fashion', 'lifestylefood24', 'RT', 'influen']"
98,2019-06-01 13:26:02,Impactable fashion as an outgrowth of sustainable fashion.\nhttps://t.co/V8nrYcTDoH\n#powerfulwomen #empowered https://t.co/cS2cXC3fmr,0,2,0.7587853074073792,"['Impactable fashion', 'outgrowth of sustainable fashion']"
99,2019-06-01 13:14:55,RT @Shivani61786355: This #EnvironmentDay follow #sustainablelifestyle for our Mother Earth and better future:\n1. Plant trees as much as po,0,1,0.920370876789093,"['EnvironmentDay', 'sustainablelifestyle', 'Mother Earth', 'po', 'Plant trees', 'Shivani61786355']"
100,2019-06-13 13:01:25,Drastic shift in city lifestyles urged to avert #climatecrisis https://t.co/TgmI2Ylo4Y via @TRF_Stories https://t.co/VyIGixZRyH,0,0,0.5,"['climatecrisis', 'city lifestyles', 'Drastic shift', 'TRF', 'Stories']"
101,2019-06-13 11:14:02,An interesting read from @Sunday_Post showing the rise of slow fashion and sustainability as a whole. Excited to se https://t.co/bVl7GV93ur,1,0,0.9109905958175659,"['Post', 'rise of slow fashion', 'sustainability', 'interesting read']"
102,2019-06-13 09:00:04,\n#healthcoach #coach #lifestyle #fitness #sustainablelifestyle #grownwellness #levelup #lozantonenko #courage https://t.co/YVqvjKLZTW,0,0,0.5,"['grownwellness', 'fitness', 'sustainablelifestyle', 'levelup', 'healthcoach', 'lozantonenko', 'courage']"
103,2019-06-13 05:13:21,[036] HOW TO TALK TO OUR KIDS ABOUT CLIMATE CHANGE https://t.co/ePG07Bvh8M via @makeandmendyear https://t.co/2a8xAfS3zW,0,0,0.5,"['CLIMATE CHANGE', 'KIDS', 'makeandmendyear']"
104,2019-06-12 22:01:13,Made From 100% Recycled Plastic. Grab yours at Coles https://t.co/bEORkfXOg5\n\n#Jordanaustralia #Jordantoothbrush https://t.co/7Q3MHBBgp4,0,0,0.5,"['Recycled Plastic', 'Coles', 'Jordantoothbrush']"
105,2019-06-12 16:10:19,The Fine Art of Landscaping #ItalianPlanters #Qatar #Indoor_Outdoor_Plants #LandscapeMaintenance #PlantingSeeds https://t.co/anZjDmcJRm,0,0,0.5,"['ItalianPlanters', 'Qatar', 'Plants', 'LandscapeMaintenance', 'Fine Art of Landscaping', 'PlantingSeeds']"
106,2019-06-12 00:00:12,#KireiLifestyle is about leading a #sustainableLifestyle Just how #sustainable are you?  Take @BBCEarth quiz to f https://t.co/BnP9rLPoVy,1,0,0.8175376653671265,"['sustainableLifestyle', 'BBCEarth quiz', 'KireiLifestyle']"
107,2019-06-11 20:02:32,Love Gang vegan t-shirts  Only at https://t.co/47YoUN1baF\n#veenofs #vegancommunity #veganlove #ethicallysourced https://t.co/DuKEYP4765,0,0,0.783693790435791,"['vegancommunity', 'Love Gang vegan t-shirts', 'veganlove']"
108,2019-06-11 15:45:17,"Simple grooming essentials with @BYoga BTowel, Routine Cream Johnny Cash Natural Deodorant, @audreleighbeauty exfol https://t.co/R5Och2hDGD",0,0,0.5,"['BYoga BTowel', 'Routine Cream Johnny Cash Natural Deodorant', 'audreleighbeauty exfol', 'Simple grooming essentials']"
109,2019-06-11 15:21:46,The Very Best Indoor Plants You Can Buy. \nVisit Our Website -: https://t.co/Lkz3xLxKvC\n#ItalianPlanters #Qatar https://t.co/FRCZXUVvct,0,0,0.5,"['Website', 'Best Indoor Plants', 'nVisit', 'Qatar']"
110,2019-06-11 13:41:17,"Already in 2016, Germany has launched a bicycle highway connecting 10 cities and 4 universities. The goal is to tak https://t.co/3Xop8Xcadk",1,0,0.5,"['bicycle highway', 'cities', 'Germany', 'universities', 'goal', 'tak']"
111,2019-06-11 11:14:02,Chester is going to be having their first ever sustainable fair in Grosvenor Park! It is amazing to see education o https://t.co/ka4aklWaBt,1,0,0.8425865769386292,"['sustainable fair', 'Grosvenor Park', 'education o', 'Chester']"
